Nombre,PApellido,SApellido,Grado,Especialidad,Areas,Sexo,Pais,Estado,Residencia,UEstudio,UTrabajo,PagPersonal,PagInstitucional,Citas,IndiceH,IndiceI10,Articulos,GScholar,ResearchG,ORCID,SIPIPN
Mario,Diaz,Torres,Doctor,En Matemáticas y Estadística,Probabilidad Aplicada y Estadística Teórica,Másculino,México,Ciudad de México,México,Universidad Queen’s,IIMAS/UNAM,https://mariodiaztorres.com/,http://www.dpye.iimas.unam.mx/txt/profiles/investigador/i17.html,304,9,8,29,https://scholar.google.com/citations?hl=es&user=Ym_prgUAAAAJ,,,
Alan,Riva-Palacios,Cohen,Doctor,En Estadística,"Estadística Bayesiana no paramétrica, inferencia de procesos estocásticos, métodos de simulación.",Másculino,México,Ciudad de México,México,UNAM,IIMAS/UNAM,https://alan7riva.github.io/,http://sigma.iimas.unam.mx/alan/fullCV%20sp.pdf,18,2,1,5,https://scholar.google.com/citations?hl=es&user=TQ8b3cAAAAAJ,,,
Román,Aguirre,Pérez,,,"Estadística Bayesiana, Estadística Computacional, Estadística Espacial",Másculino,México,Ciudad de México,México,UNAM,IIMAS/UNAM,,https://archive.fciencias.unam.mx/directorio/78658,12,1,1,2,https://scholar.google.com/citations?hl=es&user=fX3ztJcAAAAJ,,,
Alessandro,Bravetti,,Doctor,En Astrofísica Relativista,"Matemática, Física, Termodinámica, Estadística física, Información Geometría",Másculino,Italia,Ciudad de México,México,Universidad Sapienza de Roma,IIMAS/UNAM,,https://www.cimat.mx/en/alessandro-bravetti,1082,18,23,43,https://scholar.google.com/citations?hl=es&user=hUUC688AAAAJ,,,
Eduardo,Gutiérrez,Peña,Doctor,En Estadística,"Estadística y Probabilidad, con énfasis en Inferencia Bayesiana y Teoría de Decisiones, Propiedades de las familias conjugadas en modelos exponenciales, selección de modelos, métodos Bayesianos no paramétricos",Másculino,México,Ciudad de México,México,Imperial College London,IIMAS/UNAM,,http://www.dpye.iimas.unam.mx/eduardo/,93,18,27,69,https://scholar.google.com/citations?hl=es&user=AtnyIEcAAAAJ,,,
Luis Enrique,Nieto,Barajas,Doctor,En Estadística,"Computación Bayesiana, Estadística Bayesiana, Análisis de Supervivencia, Estadística Bayesiana no Paramétrica, Procesos Estocásticos, Bioestadística Bayesiana",Másculino,México,Ciudad de México,México,Universidad de Bath,ITAM,http://allman.rhon.itam.mx/~lnieto/index.html,https://computacion.itam.mx/es/facultad/16429-luis-enrique-nieto-barajas,742,17,21,78,https://scholar.google.com/citations?user=SkS4J98AAAAJ&hl=es&oi=ao,,,
Manuel,Mendoza,Ramírez,Doctor,En Ciencias,Estadística Bayesiana,Másculino,México,Ciudad de México,México,UNAM,ITAM,http://allman.rhon.itam.mx/~mendoza/mendoza.html,https://computacion.itam.mx/es/facultad/15063-manuel-mendoza-ramirez,317,10,12,41,https://scholar.google.com/citations?hl=es&user=rGtRpU8AAAAJ,,,
Alejandro,Islas,Camargo,Doctor,En Economía,"Aplicaciones estadísticas en finanzas, series de tiempo, Análisis multivariado",Másculino,México,Ciudad de México,México,Universidad de Nuevo México,ITAM,,https://computacion.itam.mx/es/facultad/63847-alejandro-islas-camargo,237,9,8,50,https://scholar.google.com/citations?hl=es&user=RsRVD60AAAAJ,,,
Rubén,Hernández,Cid,Doctor,En Matemáticas Aplicadas en las Ciencias Sociales,"Estadística en las Ciencias Sociales, Análisis multivariado, Muestreo",Másculino,México,Ciudad de México,México,Universidad de Grenoble,ITAM,,https://facultad.itam.mx/facultad/10992-ruben-hernandez-cid,,,,,,,,
Víctor Manuel,Guerrero,Guzmán,Doctor,En Estadística,"Modelación estadística, Econometría, Pronóstico estadístico, series de tiempo",Másculino,México,Ciudad de México,México,Universidad de Wisconsin-Madison,ITAM,,https://computacion.itam.mx/es/facultad/10406-victor-manuel-guerrero-guzman,1452,18,21,122,https://scholar.google.com/citations?hl=es&user=nBsAb0EAAAAJ,,,
