Nombre,PApellido,SApellido,Grado,Especialidad,Areas,Sexo,Pais,Estado,Residencia,UEstudio,UTrabajo,PagPersonal,PagInstitucional,Citas,IndiceH,IndiceI10,Articulos,GScholar,ResearchG,ORCID,SIPIPN
Paulo,Ruffino,,Doctor,En Matemáticas,"Sistemas Dinámicos, con énfasis en dinámica estocástica, trabajando principalmente en la confluencia entre dinámica, geometría, análisis estocástico y control",Másculino,Brasil,Campinas,Brasil,Universidad de Warwick,Universidad Estatal de Campinas,http://lattes.cnpq.br/9790542147867959,https://www.ime.unicamp.br/~ruffino/,365,10,10,69,https://scholar.google.com.mx/citations?user=XhnSyucAAAAJ&hl=en&oi=ao,,,
Abdala Rahal,Farhat,Neto,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Adriano,Zanin,Zambom,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,https://www.researchgate.net/profile/Adriano-Zambom,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Aída Cecília Graciela,Verdugo,Lazo,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,https://www.semanticscholar.org/author/A%C3%ADda-C.G.-Verdugo-Lazo/105040948,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Aquiles,Eugenico,Piedrabuena,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,https://www.researchgate.net/scientific-contributions/PIEDRABUENA-AQUILES-EUGENICO-31940209,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Armando,Mario,Infante,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Arnoldo,De Hoyos,Guevara,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Belmer,Garcia,Negrillo,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Chang,Chung,Yu Dorea,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Cicília,Yuko,Wada,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Clarice Azevedo,de Luna,Freire,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Dalton,Francisco,De Andrade,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,4308,32,80,301,https://scholar.google.com.mx/citations?hl=en&user=FEc--d8AAAAJ,,,
Eduardo,Fernandis,Ballester,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Eliana Heiser,de Freitas,Marques,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Emanuel,Pimentel,Barbosa,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Euclydes Custódio,de Lima,Filho,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Eugênia Maria,Reginato,Charnet,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Flávio,Celso,Bartmann,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Gabriela,Stangenhaus,,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Heloísa,Bonvino,,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Herrmann,Gerhard,Rohrer ,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Hervé Jean,Francois,Guiol,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Iraci,Jurema,de Castro,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Irene,Morsoletto,Ferreira,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Jonathan,Biele,,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
José,Antônio,Cordeiro,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
José,Ferreira,de Carvalho,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
José Norberto,Walter,Dachs ,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Julia Maria,Pavan,Soler,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Leon,Jordan,Filho,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Luiz,Carlos,de Oliveira,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Manuel,Folledo,,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Maria Elena Gonzáles,García,de Robiolo,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Maria,Eliza,Fini,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Maria,Rosa,Navarro,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Marina,Vachkovskaia,,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Mario,Antonio,Gneri,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Mauro Sérgio,de Freitas,Marques,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Paulo Roberto,Mendes,Guimarães,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Pedro Luís de Oliveira,Costa,Neto,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Pushpa,Narayan,Rathie,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Regina Célia de Carvalho,Pinto,Moran,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Reinaldo,Charnet,,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Ricardo,Iglesias,,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Rodolfo,Hoffmann,,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Rosane,Nisenbaun,,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Rubens,Murillo,Marques,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Serguei,Popov,,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Sidnei,Ragazzi,,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Sonia,Vieira,,,,,Femenino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Vera,Lúcia,Richter,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Victor Hugo,Lachos,Davila,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,3474,30,75,204,https://scholar.google.com.mx/citations?user=-aosoKwAAAAJ&hl=en,,,
Vyacheslav,Leonidovych,Girko,,,,Másculino,Brasil,Campinas,Brasil,,Universidad Estatal de Campinas,,https://www.ime.unicamp.br/departamentos/estatistica/corpo-docente#,,,,,,,,
Adriana,Neumann,de Oliveira,Doctora,En Matemáticas,"Sistemas de partículas interactuantes, en las que estudia límites hidrodinámicos, grandes desviaciones y fluctuaciones. También estudia los límites de escala y las grandes desviaciones de algunos modelos markovianos del formalismo termodinámico",Femenino,Brasil,Rio de Janeiro,Brasil,Instituto de Matemática Pura y Aplicada,Academia Brasileña de Ciencias,https://www.escavador.com/sobre/534506/adriana-neumann-de-oliveira,https://www.abc.org.br/membro/adriana-neumann-de-oliveira/,606,10,11,39,https://scholar.google.com/citations?hl=en&user=G5JQ14MAAAAJ,,,
Aloísio,Pessoa,de Araújo,Doctor,En Estadística,"Teoría de la Probabilidad y Economía Matemática. Su principal área de actividad matemática fue el estudio del Teorema del Límite Central y el Espacio de Banach, en el que destacó: la caracterización de medidas de Lévy, el Dominio de Atracción de Leyes Estables y la Convergencia de Arreglos Triangulares",Másculino,Brasil,Rio de Janeiro,Brasil,"Universidad de California, Berkeley",Academia Brasileña de Ciencias,https://www.escavador.com/sobre/7906931/aloisio-pessoa-de-araujo,https://www.abc.org.br/membro/aloisio-pessoa-de-araujo/,,,,,,,,
Jefferson,Antonio,Galves,Doctor,En Estadística,"Modelos estadísticos, especialmente sistemas estocásticos con memoria e interacciones de rango variable",Másculino,Brasil,Rio de Janeiro,Brasil,Instituto de Matemática Pura y Aplicada,Academia Brasileña de Ciencias,http://lattes.cnpq.br/5430021088108855,https://www.abc.org.br/membro/antonio-galves/,,,,,,,,
Augusto,Quadros,Teixeira,Doctor,En Matemáticas,"Procesos y modelos de mecánica estadística en y fuera de equilibrio. Estos modelos, como la percolación o los paseos aleatorios, son ampliamente utilizados para comprender la propagación de epidemias, la resistencia de las redes de información, entre otros fenómenos",Másculino,Brasil,Rio de Janeiro,Brasil,ETH – Zurich,Academia Brasileña de Ciencias,http://lattes.cnpq.br/8353498280775865,https://www.abc.org.br/membro/augusto-quadros-teixeira/,561,,,34,,https://www.researchgate.net/scientific-contributions/Augusto-Teixeira-2054620400,,
Charles,Michael,Newman,Doctor,En Física ,Teoría de la probabilidad y física estadística,Másculino,Estados Unidos,Rio de Janeiro,Brasil,Princeton,Academia Brasileña de Ciencias,https://math.nyu.edu/faculty/newman/,https://www.abc.org.br/membro/charles-michael-newman/,,,,,,,,
Hubert,Marie,Lacoin,Doctor,En Matemáticas,Probabilidades e física matemática,Másculino,Francia,Rio de Janeiro,Brasil,Universidad París Diderot,Academia Brasileña de Ciencias,http://lattes.cnpq.br/2282052097434172,https://www.abc.org.br/membro/hubert-lacoin/,,,,,,,,
Rodrigo,Lambert,,Doctor,En Estadística y en Matemáticas  ,Probabilidad y Sistemas Dinámicos,Másculino,Brasil,Rio de Janeiro,Brasil,Universidad de São Paulo y la Universdad de Toulon-France,Universidad Federal de São Carlos,https://www.escavador.com/sobre/396601/rodrigo-lambert#profissional,,57,5,2,7,https://scholar.google.com.mx/citations?hl=en&user=Vx71LdgAAAAJ,,,
Andrea,Andrade,Prudente,Maestra,En Biometría y Estadística Aplicada,"Control de Calidad, Modelos de Regresión y Aplicaciones, Muestreo",Femenino,Brasil,Bahia,Brasil,Universidad Federal Rural de Pernambuco,Universidad Federal de Bahía,http://lattes.cnpq.br/2983396488721147,https://est.ufba.br/pt-br/Prudente,,,,,,,,
Carolina Costa,Mota,Paraíba,Doctora,En Estadística,"Estadística Aplicada, Modelos de Regresión, Inferencia Bayesiana, Inferencia Clásica",Femenino,Brasil,Bahia,Brasil,Universidad Federal de São Carlos,Universidad Federal de Bahía,http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4251598E5,https://est.ufba.br/pt-br/carolina-costa-mota-paraiba,6,1,,5,,https://www.researchgate.net/profile/Carolina-Costa-Mota-Paraiba,,
Denise,Nunes,Viola,Doctora,En Estadística,"Estadística Espacial, Diseño de Experimentos",Femenino,Brasil,Bahia,Brasil,Universidad de São Paulo,Universidad Federal de Bahía,http://lattes.cnpq.br/5164848678300815,http://www.est.ufba.br/Viola,,,,,,,,
Edleide,Brito,,Doctora,En Estadística y Experimentación Agronómica,"Teoría de distribución, modelos de regresión y aplicaciones, análisis de supervivencia",Femenino,Brasil,Bahia,Brasil,Universidad de São Paulo,Universidad Federal de Bahía,http://lattes.cnpq.br/9298529555978498,http://www.est.ufba.br/edleidebrito,328,4,3,10,https://scholar.google.com/citations?user=WYlN6jUAAAAJ&hl=es,,,
Gecynalda Soares,da Silva,Gomes,Doctora,En Ciencias de la Computación,"Modelos y Aplicaciones de Regresión, Redes Neuronales, Series de Tiempo",Femenino,Brasil,Bahia,Brasil,Universidad Federal de Pernambuco,Universidad Federal de Bahía,http://lattes.cnpq.br/3389510216870588,http://www.est.ufba.br/Gomes,691,13,14,36,https://scholar.google.com.mx/citations?hl=en&user=KRhv6PEAAAAJ,,,
Gilberto,Pereira,Sassi,Doctor,En Estadística,"Análisis Funcional de Datos, Estadísticas No Paramétricas, Teoría de Respuesta al Ítem",Másculino,Brasil,Bahia,Brasil,Universidad de São Paulo,Universidad Federal de Bahía,http://lattes.cnpq.br/7008457711842107,https://est.ufba.br/pt-br/gilberto-pereira-sassi-0,1,1,,2,,https://www.researchgate.net/profile/Gilberto-Sassi,,
Giovana,Oliveira,Silva,Doctora,En Estadística y Experimentación Agronómica,"Análisis de Supervivencia, Teoría de la Distribución, Modelos de Regresión y Aplicaciones",Femenino,Brasil,Bahia,Brasil,Universidad de São Paulo,Universidad Federal de Bahía,http://lattes.cnpq.br/3588724844050512,http://www.est.ufba.br/Silva,1022,13,14,41,https://scholar.google.com.mx/citations?hl=en&user=q4FKzy0AAAAJ,,,
Helder,Paulo,Zacharias,Doctor,En Estadística,"Inferencia Estadística, Inferencia Bayesiana",Másculino,Brasil,Bahia,Brasil,Universidad de São Paulo,Universidad Federal de Bahía,http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4774151Z9,http://www.est.ufba.br/zacharias,8,,,2,,https://www.researchgate.net/scientific-contributions/Helder-Paulo-Zacharias-45296284,,
Jalmar,M F,Carrasco,Doctor,En Estadística,Modelos de regresión,Másculino,Brasil,Bahia,Brasil,Universidad de São Paulo,Universidad Federal de Bahía,http://lattes.cnpq.br/2366872929920113,http://www.est.ufba.br/kim,467,6,6,19,https://scholar.google.com.mx/citations?hl=en&user=2oTALdYAAAAJ,,,
Leila Denise Alves,Ferreira,Amorim,Doctora,En Bioestadística,"Análisis de Supervivencia, Modelos de Regresión y Aplicaciones, Bioestadística",Femenino,Brasil,Bahia,Brasil,Universidad de Carolina del Norte en Chapel Hill,Universidad Federal de Bahía,http://lattes.cnpq.br/7571944616774417,http://www.est.ufba.br/leila-amorim,2357,26,41,21,https://scholar.google.com.mx/citations?user=UbYiVJIAAAAJ&hl=en&oi=sra,,,
Lilia Carolina,Carneiro,da Costa,Doctora,En Estadística,"Inferencia Bayesiana, Psicometría, Neurociencia",Femenino,Brasil,Bahia,Brasil,Universidad de Warwick,Universidad Federal de Bahía,http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=N440278,http://www.est.ufba.br/Costa,,,,1,,https://www.researchgate.net/scientific-contributions/Lilia-Carolina-Carneiro-da-Costa-2185429140,,
Kim,Nakamura,Samejima,Doctor,En Estadística,Series de tiempo,Másculino,Brasil,Bahia,Brasil,Universidad de São Paulo,Universidad Federal de Bahía,http://lattes.cnpq.br/2366872929920113,http://www.est.ufba.br/kim,,,,1,,https://www.researchgate.net/scientific-contributions/Kim-Nakamura-Samejima-2179308619,,
Lizandra,Castilho,Fabio,Doctora,En Estadística,Modelos mixtos lineales generalizados,Femenino,Brasil,Bahia,Brasil,Universidad de São Paulo,Universidad Federal de Bahía,http://lattes.cnpq.br/7810017497956572,http://www.est.ufba.br/lizandrafabio,20,,,4,,https://www.researchgate.net/scientific-contributions/Lizandra-C-Fabio-2189986255,,
Marcelo,Magalhães,Taddeo,Doctor,En Estadística,Series de tiempo,Másculino,Brasil,Bahia,Brasil,Universidad de São Paulo,Universidad Federal de Bahía,http://lattes.cnpq.br/8525155883124586,https://est.ufba.br/pt-br/marcelo.magalhaes,5,,,1,,https://www.researchgate.net/scientific-contributions/Marcelo-Magalhaes-Taddeo-2202409694,,
Maristela,Dias,Oliveira,Doctora,En Estadística,"Análisis de Sobrevivência, Inferência Bayesiana",Femenino,Brasil,Bahia,Brasil,Universidad Federal de Minas Gerais,Universidad Federal de Bahía,http://lattes.cnpq.br/3416793880273203,http://www.est.ufba.br/Oliveira,68,4,,5,,https://www.researchgate.net/profile/Maristela-Oliveira,,
Nívea,Bispo,da Silva,Doctora,En Estadística,"Análisis de datos longitudinales, modelos de combinación fina, modelos de regresión, inferencia bayesiana",Femenino,Brasil,Bahia,Brasil,Universidad Federal de Minas Gerais,Universidad Federal de Bahía,http://lattes.cnpq.br/2365687224418330,https://est.ufba.br/pt-br/nivea,478,7,7,28,https://scholar.google.com.mx/citations?hl=en&user=WQmaP5EAAAAJ,,,
Paulo,Canas,Rodrigues,Doctor,En Estadística,"Estadística Multivariada, Bioestadística, Series Temporales",Másculino,Brasil,Bahia,Brasil,Nueva Universidad de Lisboa,Universidad Federal de Bahía,http://lattes.cnpq.br/0029960374321970,https://sites.google.com/site/paulocanas/,869,18,28,134,https://scholar.google.com.mx/citations?hl=en&user=KBtSLIEAAAAJ,,,
Paulo Henrique,Ferreira,da Silva,Doctor,En Estadística,"Modelos no lineales, modelos de riesgo, minería de datos, control estadístico de procesos, análisis de supervivencia",Másculino,Brasil,Bahia,Brasil,Universidad Federal de São Carlos,Universidad Federal de Bahía,http://lattes.cnpq.br/8538524597034643,https://est.ufba.br/pt-br/paulohenri,256,9,9,51,https://scholar.google.com.mx/citations?user=FgJAjssAAAAJ&hl=en&oi=ao,,,
Ricardo,Ferreira,da Rocha,Doctor,En Estadística,"Análisis de supervivencia, aprendizaje automático, estadísticas computacionales",Másculino,Brasil,Bahia,Brasil,Universidad Federal de São Carlos,Universidad Federal de Bahía,http://lattes.cnpq.br/0676420269735630,http://www.statfacil.com/ricardorocha/,,,,,,,,
Rodrigo,de Souza,Bulhões,Doctor,En Estadística,"Estadísticas Multivariadas, Modelos de Regresión y Aplicaciones",Másculino,Brasil,Bahia,Brasil,Universidad de São Paulo,Universidad Federal de Bahía,http://lattes.cnpq.br/1728048599664810,https://est.ufba.br/Bulhoes,71,4,,14,,https://www.researchgate.net/profile/Rodrigo-Bulhoes?_sg=P-ZtAuYOMtJbg8N-zd1bSOsWWlksy0H2WTqLvWQXhveg5_u2fN_vPtCploSpyh6Hm4Qy-pBRHjjJVTk,,
Rosemeire,Leovigildo,Fiaccone,Doctor,En Estadística,"Análisis de Supervivencia, Bioestadística",Femenino,Brasil,Bahia,Brasil,Universidad de Lancaster,Universidad Federal de Bahía,http://lattes.cnpq.br/1839882342448396,http://www.est.ufba.br/Fiaccone,3099,30,49,123,https://scholar.google.com.mx/citations?user=OkRJBykAAAAJ&hl=en,,,
Gilênio,Borges,Fernandes,Doctor,En Meteorología y Estadística Agrícola,"Modelos Lineales Generalizados, Diseño de Experimentos",Másculino,Brasil,Bahia,Brasil,Universidad del Estado de Iowa,Universidad Federal de Bahía,http://lattes.cnpq.br/6764860618464860,,,,,1,,https://www.researchgate.net/scientific-contributions/Gilenio-Borges-Fernandes-2176562628,,
Lia Terezinha Lana,Pimenta,de Moraes,Maestra,En Economia,Estadística Aplicada,Femenino,Brasil,Bahia,Brasil,Universidad Federal de Bahía,Universidad Federal de Bahía,http://lattes.cnpq.br/9809734773305722,http://www.est.ufba.br/liamoraes,,,,,,,,
Rita Maria,Bastos,Vieira,Maestra,En Estadística,"Urbanismo, Ingeniería, Administración, Ciencias Contables, Sistemas de Información, Ciencias Sociales y Educación a Distancia en cursos de las áreas de Administración, Matemáticas, Química y Gestión y Evaluación de Políticas Públicas",Femenino,Brasil,Bahia,Brasil,Universidad Federal de Río de Janeiro,Universidad Federal de Bahía,http://lattes.cnpq.br/7359385140449684,https://est.ufba.br/pt-br/rita-maria-bastos-vieira-0,,,,1,,https://www.researchgate.net/scientific-contributions/Rita-Maria-Bastos-Vieira-2152525001?_sg=A-XOOF8pS1TlMak1EWqOwTp0-xovrUlG_nV-PeDD4IBti-ldgcJPuB2Kn_C5aWVPRrxavan_52pK370,,
Tereza Nadya,Lima,dos Santos,Doctora,En Salud Colectiva con concentración en Epidemiología,"Teoría de la respuesta al ítem, Modelado con ecuaciones estructurales, Comparación del poder de prueba para el riesgo relativo",Femenino,Brasil,Bahia,Brasil,Universidad Federal de Bahía,Universidad Federal de Bahía,http://lattes.cnpq.br/9009496447127389,https://est.ufba.br/pt-br/nadyaluz,,,,,,,,
Viveca,Wolfovitc,,Maestra,En Administración de Empresas,"Probabilidad y Estadística, Sistemas de Gestión de la Calidad.",Femenino,Brasil,Bahia,Brasil,,Universidad Federal de Bahía,http://lattes.cnpq.br/0513058914654467,http://www.est.ufba.br/Viveca,,,,,,,,
Silvia Regina Ribeiro,Lemos,Morais,Maestra,En Estadística,"Muestreo, Modelos de Regresión y Aplicaciones, Series de Tiempo",Femenino,Brasil,Bahia,Brasil,Universidad Federal de Pernambuco,Universidad Federal de Bahía,http://lattes.cnpq.br/6884421987050363,http://www.est.ufba.br/lemos,,,,,,,,
Veronica Maria,Cadena,Lima,Doctora,En Estadística,"Modelos de Regresión y Aplicaciones, Inferencia Estadística",Femenino,Brasil,Bahia,Brasil,Universidad de Leeds,Universidad Federal de Bahía,http://lattes.cnpq.br/0186120040412904,http://www.est.ufba.br/lima,449,11,14,62,https://scholar.google.com/citations?user=QenotGYAAAAJ&hl=es,,,
Wecsley,Otero,Prates,Doctor,En Estadística,Probabilidad e Inferencia en Procesos Estocásticos,Másculino,Brasil,Bahia,Brasil,Universidad Federal de Minas Gerais,Universidad Federal de Bahía,http://lattes.cnpq.br/1333110087216507,https://est.ufba.br/wecsley-otero-prates-0,5,1,0,5,https://scholar.google.com.mx/citations?user=uJYNA88AAAAJ&hl=en&oi=ao,,,
Ana Claudia,da Silva,Batista,Maestra,En Matemáticas con concentración en Estadística,"Control Estadístico de Procesos, Modelos de Regresión y Aplicaciones",Femenino,Brasil,Bahia,Brasil,Universidad Federal de Bahía,Universidad Federal de Bahía,http://lattes.cnpq.br/6515448332831906,https://est.ufba.br/pt-br/docentes,,,,,,,,
Marisleane,Moreira,de Oliveira,Maestra,En Estadística,"Inferencia Estadística, Probabilidad",Femenino,Brasil,Bahia,Brasil,Universidad Federal de Bahía,Universidad Federal de Bahía,http://lattes.cnpq.br/1194463664469074,https://est.ufba.br/pt-br/docentes,,,,,,,,
Renata,de Miranda,Esquivel,Maestra,En Estadística,"Series temporales, modelos de regresión y aplicaciones",Femenino,Brasil,Bahia,Brasil,Universidad Federal de Bahía,Universidad Federal de Bahía,http://lattes.cnpq.br/8928791014905490,https://est.ufba.br/pt-br/docentes,,,,,,,,
Tatiana,Felix,da Matta,Maestra,En Estadística,"Modelos de regresión y aplicaciones, Inferencia Estadística",Femenino,Brasil,Bahia,Brasil,Universidad Federal de Bahía,Universidad Federal de Bahía,http://lattes.cnpq.br/7045332719951475,https://est.ufba.br/pt-br/docentes,,,,,,,,
Afrânio Márcio,Corrêa,Vieira,Doctor,En Agronomía (área de concentración: Estadística y Experimentación Agronómica),"Análisis de regresión y extensiones, modelos para datos longitudinales, teoría de respuesta al ítem, modelado de riesgo de crédito, bioestadística y estadística aplicada a la experimentación agronómica",Másculino,Brasil,São Paulo,Brasil,Universidad de São Paulo y Universiteit Hasselt,Universidad Federal de São Carlos,http://lattes.cnpq.br/2859528672308405,https://www.des.ufscar.br/departamento/docentes/afranio-marcio-correa-vieira,785,10,13,100,https://scholar.google.com.mx/citations?user=gjn9w6oAAAAJ&hl=en,,,
Alexsandro Giacomo,Grimbert,Gallo,Doctor,En Estadística,Probabilidad,Másculino,Brasil,São Paulo,Brasil,Universidad de São Paulo,Universidad Federal de São Carlos,http://lattes.cnpq.br/4037274656833325,https://www.des.ufscar.br/departamento/docentes/alexsandro-giacomo-grimbert-gallo,196,9,9,29,https://scholar.google.com/citations?user=N069n3AAAAAJ&hl=es,,,
Andressa,Cerqueira,,Doctora,En Estadística,Procesos estocásticos con énfasis en redes aleatorias,Femenino,Brasil,São Paulo,Brasil,Universidad de São Paulo,Universidad Federal de São Carlos,https://www.servidores.ufscar.br/acerqueira/,https://www.des.ufscar.br/departamento/docentes/andressa-cerqueira,21,2,1,5,https://scholar.google.com.mx/citations?hl=en&user=ckmY9IoAAAAJ,,,
